X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
395.63,5.401,6.681,2.568,252,1.383,18.3,0.428,0,3,21.8,4.32,2.95,0.028,75,30.8
396.9,3.977,26.871,2.478,307,0.271,21,0.538,0,4,91.7,18.72,8.14,1.232,0,15.2
389.25,4.787,9.331,2.696,254,0.739,17.6,0.447,1,4,49,6.05,6.41,0.105,40,33.2
376.7,6.22,6.233,2.57,265,1.889,15.6,0.401,0,1,18.8,4.38,2.93,0.014,60,29.1
385.05,2.894,6.59,2.875,307,1.125,17.4,0.504,0,8,78.3,4.14,6.2,0.315,0,44.8
383.29,1.895,11.493,2.708,264,0.283,13,0.647,0,5,100,7.79,3.97,0.664,20,36
386.86,2.289,8.706,2.898,264,0.188,13,0.647,0,5,91.5,5.91,3.97,0.52,20,48.8
395.69,3.602,13.845,2.563,304,0.695,18.4,0.544,0,4,87.3,9.28,9.9,0.369,0,23.8
83.45,2.053,24.718,2.52,666,0.871,20.2,0.584,0,24,86.1,17.64,18.1,8.492,0,14.5
394.47,2.715,19.794,2.477,384,0.967,20.9,0.52,0,5,87.4,13.44,8.56,0.212,0,19.3
396.9,7.317,10.44,2.492,293,1.63,16.6,0.405,0,6,31.3,7.14,5.32,0.039,52.5,23.2
390.96,3.132,7.796,2.559,296,1.848,16.6,0.51,0,5,33.1,5.33,4.05,0.067,0,29.4
376.14,3.672,7.878,2.722,307,0.054,17.4,0.504,0,8,76.9,5.25,6.2,0.463,0,31.7
396.9,3.875,32.384,2.312,277,0.472,18.6,0.489,1,4,100,23.09,10.59,0.436,0,20
391.83,3.495,16.664,2.483,276,0.224,18,0.445,0,2,69.6,11.34,2.89,0.115,0,21.4
374.71,7.827,13.5,2.536,330,1.004,19.1,0.431,0,7,49.1,9.52,5.86,0.164,22,24.5
384.3,7.653,6.67,2.671,402,1.583,17,0.403,0,3,13.9,4.45,1.47,0.018,95,32.9
387.31,4.695,5.75,2.796,216,0.912,14.9,0.443,0,5,64.5,3.76,3.33,0.036,20,45.4
70.8,2.715,15.714,2.531,384,1.856,20.9,0.52,0,5,85.4,10.63,8.56,0.229,0,18.6
383.37,5.721,8.988,2.484,233,0.638,17.9,0.448,0,3,6.6,5.81,6.91,0.142,0,25.3
370.78,10.71,7.997,2.565,411,1.35,18.3,0.411,0,4,35.9,5.49,1.69,0.08,60,24.1
396.9,1.439,49.084,2.24,437,1.395,21.2,0.624,0,4,100,34.41,21.89,1.629,0,14.4
391.7,2.862,14.414,2.636,307,1.442,17.4,0.507,1,8,88.5,9.71,6.2,0.358,0,26.7
321.02,1.749,21.63,2.476,403,1.609,14.7,0.871,1,5,96,15.12,19.58,1.414,0,17
60.72,1.968,33.887,2.526,666,0.481,20.2,0.679,0,24,95.6,24.08,18.1,9.339,0,9.5
396.9,4.032,22.69,2.405,304,1.176,18.4,0.544,0,4,71.7,15.94,9.9,0.245,0,19.8
378.35,3.672,16.86,2.446,307,1.286,17.4,0.504,0,8,68.1,11.65,6.2,0.537,0,24.3
396.9,2.409,18.566,2.453,391,1.883,19.2,0.585,0,6,65.3,12.92,9.69,0.239,0,21.2
396.9,8.792,8.872,2.548,335,0.895,19.7,0.429,0,1,44.4,5.98,1.25,0.062,40,22.9
240.16,2.283,14.65,2.47,403,0.447,14.7,0.605,0,5,93,9.81,19.58,2.924,0,25
389.7,1.801,7.296,2.95,264,1.14,13,0.647,0,5,86.9,5.12,3.97,0.612,20,50
396.9,3.272,10.874,2.573,307,1.754,17.4,0.507,0,8,80.8,7.6,6.2,0.615,0,30.1
396.9,1.574,28.454,2.519,666,0.777,20.2,0.693,0,24,100,20.32,18.1,14.236,0,7.2
366.15,1.169,13.488,2.493,666,0.593,20.2,0.631,0,24,100,9.53,18.1,9.232,0,50
10.48,2.581,27.317,2.445,666,0.416,20.2,0.713,0,24,87.9,19.01,18.1,4.669,0,12.7
396.9,1.817,32.885,2.372,666,0.822,20.2,0.74,0,24,93.9,22.88,18.1,9.391,0,12.8
396.9,2.11,19.294,2.446,711,1.902,20.1,0.609,0,4,83.5,13.35,27.74,0.111,0,20.1
395.93,8.697,7.426,2.692,226,0.453,17.9,0.403,0,5,21.9,4.81,1.22,0.013,90,35.4
371.72,7.317,13.485,2.562,293,1.216,16.6,0.405,0,6,22.9,9.51,5.32,0.043,52.5,24.8
383.73,5.287,9.968,2.533,305,0.345,19.2,0.413,0,4,6.6,6.72,10.81,0.088,0,24.2
386.75,4.258,20.689,2.447,307,1.619,21,0.538,0,4,81.7,14.67,8.14,0.784,0,17.5
396.9,3.099,9.189,2.724,222,1.104,18.4,0.472,0,7,71.9,6.47,2.18,0.075,33,33.4
396.9,5.416,8.829,2.512,287,1.905,19.6,0.493,0,5,28.9,6.15,7.38,0.303,0,23
